CASO NÚMERO,ESTADO DEL CASO,COORDENADAS , EXHUMACION,ESTADO DEL PROCESO,DEPARTAMENTO,MUNICIPIO,LATITUD,LONGITUD,COORDENADAS
CIH-0030-15,CERRADO,"-74,7805083","6,2508",IDENTIF_ENTREGADO,ANTIOQUIA,SAN CARLOS,6.2508,-74.7805083,"6.2508,-74.7805083"
CIH-0030-16,CERRADO,"-75,8579167","8,74144444",IDENTIF_ENTREGADO,CÓRDOBA,MONTERÍA,8.74144444,-75.8579167,"8.74144444,-75.8579167"
CIH-0030-17,CERRADO,"-75,5175","7,24966667",IDENTIF_ENTREGADO,ANTIOQUIA,ITUANGO,7.24966667,-75.5175,"7.24966667,-75.5175"
CIH-0031-14,PEND.RESULT.GENETICA,"-76,61613889","8,4555",NO_IDENTIFICADO,ANTIOQUIA,NECOCLÍ,8.4555,-76.61613889,"8.4555,-76.61613889"
CIH-0031-15,CERRADO,-75.67583,"6,91444",IDENTIF_ENTREGADO,ANTIOQUIA,SAN ANDRÉS DE CUERQUÍA,6.91444,-75.67583,"6.91444,-75.67583"
CIH-0031-16,PEND.RESULT.GENETICA,"-75,8579167","8,74144444",,CÓRDOBA,MONTERÍA,8.74144444,-75.8579167,"8.74144444,-75.8579167"
CIH-0031-17,PEND.RESULT.GENETICA,"-75,5175","7,24966667",,ANTIOQUIA,ITUANGO,7.24966667,-75.5175,"7.24966667,-75.5175"
CIH-0032-14,CERRADO,"-76,657","8,3419",IDENTIF_ENTREGADO,ANTIOQUIA,NECOCLÍ,8.3419,-76.657,"8.3419,-76.657"
CIH-0032-15,CERRADO,"-75,7648611","7,17852778",,ANTIOQUIA,ITUANGO,7.17852778,-75.7648611,"7.17852778,-75.7648611"
CIH-0032-16,PEND.RESULT.GENETICA,"-75,2702222","8,02094444",NO_IDENTIF_EN_PROCES,CÓRDOBA,TIERRALTA,8.02094444,-75.2702222,"8.02094444,-75.2702222"
CIH-0032-17,CERRADO,"-75,5175278","7,24980556",IDENTIF_ENTREGADO,ANTIOQUIA,ITUANGO,7.24980556,-75.5175278,"7.24980556,-75.5175278"
CIH-0033-14,CERRADO,"-76,36061111","8,28916667",,CÓRDOBA,VALENCIA,8.28916667,-76.36061111,"8.28916667,-76.36061111"
CIH-0033-15,CERRADO,"-77,49222222","6,806388889",,CHOCÓ,BAHÍA SOLANO,6.806388889,-77.49222222,"6.806388889,-77.49222222"
CIH-0033-16,CERRADO,"-75,27022","8,02094",IDENTIF_ENTREGADO,CÓRDOBA,TIERRALTA,8.02094,-75.27022,"8.02094,-75.27022"
CIH-0033-17,ASIGNADO,"-75,5175278","7,24980556",,ANTIOQUIA,ITUANGO,7.24980556,-75.5175278,"7.24980556,-75.5175278"
CIH-0034-14,CERRADO,"-75,90611111","6,064888889",NO_IDENTIFICADO,ANTIOQUIA,CONCORDIA,6.064888889,-75.90611111,"6.064888889,-75.90611111"
CIH-0034-15,CERRADO,"-77,76833333","7,110833333",,CHOCÓ,JURADÓ,7.110833333,-77.76833333,"7.110833333,-77.76833333"
